Universities,Rank,,,
Massachusetts Institute of Technology,1,,,
Carnegie Mellon University,2,,,
Stanford University,2,,,
University of California--Berkeley,2,,,
University of Illinois--Urbana-Champaign,5,,,
Cornell University,6,,,
Georgia Institute of Technology,6,,,
University of Washington,6,,,
Princeton University,9,,,
University of Texas--Austin,9,,,
California Institute of Technology,11,,,
Columbia University,11,,,
University of California--Los Angeles,11,,,
University of California--San Diego,11,,,
University of Michigan--Ann Arbor,11,,,
Harvard University,16,,,
University of Maryland--College Park,17,,,
University of Pennsylvania,17,,,
University of Wisconsin--Madison,17,,,
Johns Hopkins University,20,,,
Purdue University--West Lafayette,20,,,
Yale University,20,,,
Duke University,23,,,
University of Massachusetts--Amherst,23,,,
University of Southern California,23,,,
Brown University,26,,,
University of North Carolina--Chapel Hill,26,,,
Northwestern University,28,,,
Rice University,28,,,
University of California--Irvine,28,,,
University of California--Santa Barbara,28,,,
University of Chicago,28,,,
University of Virginia,28,,,
Northeastern University,34,,,
Ohio State University,34,,,
Pennsylvania State University--University Park,34,,,
University of Minnesota--Twin Cities,34,,,
New York University,38,,,
"Rutgers, The State University of New Jersey--New Brunswick",38,,,
Texas A&M University--College Station,38,,,
University of Colorado--Boulder,38,,,
Virginia Tech,38,,,
Stony Brook University--SUNY,43,,,
University of California--Davis,43,,,
University of Florida,43,,,
University of Utah,43,,,
Washington University in St. Louis,43,,,
Boston University,48,,,
Arizona State University,49,,,
Dartmouth College,49,,,
North Carolina State University,49,,,
University of Arizona,49,,,
University of California--Santa Cruz,49,,,
University of Notre Dame,49,,,
Indiana University--Bloomington,55,,,
Rensselaer Polytechnic Institute,55,,,
University of Pittsburgh,55,,,
University of Rochester,55,,,
Vanderbilt University,55,,,
Michigan State University,60,,,
University of California--Riverside,60,,,
University of Illinois--Chicago,60,,,
Case Western Reserve University,63,,,
George Mason University,63,,,
Iowa State University,63,,,
Oregon State University,63,,,
University at Buffalo--SUNY,63,,,
University of Texas--Dallas,63,,,
Syracuse University,69,,,
Tufts University,69,,,
University of Central Florida,69,,,
University of Iowa,69,,,
William & Mary,69,,,
Drexel University,74,,,
Emory University,74,,,
George Washington University,74,,,
Rochester Institute of Technology,74,,,
University of Connecticut,74,,,
University of Maryland--Baltimore County,74,,,
University of Oregon,74,,,
Washington State University,74,,,
Clemson University,82,,,
Colorado School of Mines,82,,,
Florida State University,82,,,
Georgetown University,82,,,
Stevens Institute of Technology,82,,,
University of Delaware,82,,,
University of Nebraska--Lincoln,82,,,
Auburn University,89,,,
Colorado State University,89,,,
Lehigh University,89,,,
New Jersey Institute of Technology,89,,,
Toyota Technological Institute at Chicago,89,,,
University of Georgia,89,,,
University of Kansas,89,,,
University of Tennessee--Knoxville,89,,,
University of Texas--Arlington,89,,,
Worcester Polytechnic Institute,89,,,
Binghamton University--SUNY,99,,,
Brigham Young University,99,,,
Illinois Institute of Technology,99,,,
"Rutgers, The State University of New Jersey--Newark",99,,,
Temple University,99,,,
University of New Mexico,99,,,
University of North Carolina--Charlotte,99,,,
Brandeis University,106,,,
Indiana University-Purdue University--Indianapolis,106,,,
Kansas State University,106,,,
University of Alabama,106,,,
University of Kentucky,106,,,
University of Missouri,106,,,
University of South Carolina,106,,,
University of South Florida,106,,,
Wayne State University,106,,,
CUNY--City College,115,,,
University at Albany--SUNY,115,,,
University of California--Merced,115,,,
University of Cincinnati,115,,,
University of Houston,115,,,
University of Massachusetts--Boston,115,,,
University of Oklahoma,115,,,
CUNY Graduate School and University Center,122,,,
Florida International University,122,,,
Georgia State University,122,,,
Howard University,122,,,
Louisiana State University--Baton Rouge,122,,,
Michigan Technological University,122,,,
Missouri University of Science & Technology,122,,,
SMU,122,,,
Texas Tech University,122,,,
University of Massachusetts--Lowell,122,,,
University of Miami,122,,,
University of Texas--San Antonio,122,,,
Virginia Commonwealth University,122,,,
New Mexico State University,135,,,
Oklahoma State University,135,,,
Old Dominion University,135,,,
Portland State University,135,,,
University of Alabama--Birmingham,135,,,
University of Colorado--Colorado Springs,135,,,
University of Hawaii--Manoa,135,,,
University of Rhode Island,135,,,
University of Wisconsin--Milwaukee,135,,,
Utah State University,135,,,
West Virginia University,135,,,
DePaul University,146,,,
Florida Atlantic University,146,,,
Kent State University,146,,,
Marquette University,146,,,
Mississippi State University,146,,,
Ohio University,146,,,
University of Arkansas--Fayetteville,146,,,
University of Colorado--Denver,146,,,
University of Denver,146,,,
University of Louisiana--Lafayette,146,,,
University of Mississippi,146,,,
University of North Texas,146,,,
University of Vermont,146,,,
Air Force Institute of Technology,159,,,
Florida Institute of Technology,159,,,
Indiana State University,159,,,
Oregon Health and Science University,159,,,
University of Alabama--Huntsville,159,,,
University of Idaho,159,,,
University of Louisville,159,,,
University of Maine,159,,,
University of Memphis,159,,,
University of Michigan--Dearborn,159,,,
University of Missouri--Kansas City,159,,,
University of Nevada--Las Vegas,159,,,
University of Nevada--Reno,159,,,
University of Tulsa,159,,,
Wichita State University,159,,,
Wright State University,159,,,
Montana State University,175,,,
North Carolina A&T State University,175,,,
University of Arkansas--Little Rock,175,,,
University of Nebraska--Omaha,175,,,
Claremont Graduate University,179,,,
Louisiana Tech University,179,,,
Southern Illinois University--Carbondale,179,,,
Tennessee Technological University,179,,,
Towson University,179,,,
University of Texas--El Paso,179,,,
University of Toledo,179,,,
University of Wyoming,179,,,
Dakota State University,187,,,
Eastern Michigan University,187,,,
North Dakota State University,187,,,
Oakland University,187,,,
Pace University,187,,,
Tennessee State University,187,,,
Western Michigan University,187,,,
Bowie State University,194,,,
University of Bridgeport,194,,,
University of Puerto Rico--Mayaguez,194,,,
University of Southern Mississippi,194,,,
Walden University,194,,,
Chapman University,199,,,
LIU Post,199,,,